relative_path,source_group,extension,size_bytes,modified_at,parsed_month,parseable_by_etl,needs_manual_xlsx_etl,header_preview,notes,status,action_required
PENDING::meta_instamart::2025-12,meta_instamart,,,,2025-12,no,no,,Expected month-wise extract not received yet.,awaited,Please share month-wise extract for this source and month.
PENDING::saras_total_revenue_by_channel::2025-12_to_2026-02,saras_total_revenue_by_channel,,,,2025-12_to_2026-02,no,no,,"Pending from data owners: Saras total revenue by month across D2C, Offline, Q-Com, etc.",awaited,"Share monthly file for Dec 2025, Jan 2026, Feb 2026 (CSV preferred)."
dashboard_data/Amazon Sales_Sara_s wholesome/SWF sale_Dec_25.xlsx,amazon_sales,.xlsx,10889,2026-03-05T00:39:18,2025-12,no,yes,,xlsx requires explicit conversion/parse path (no openpyxl dependency yet),received_xlsx_manual_etl,
dashboard_data/Amazon Sales_Sara_s wholesome/SWF sale_Jan_26.xlsx,amazon_sales,.xlsx,10885,2026-03-05T00:39:20,2026-01,no,yes,,xlsx requires explicit conversion/parse path (no openpyxl dependency yet),received_xlsx_manual_etl,
dashboard_data/Amazon Sales_Sara_s wholesome/SWF sale_Feb_26.xlsx,amazon_sales,.xlsx,10957,2026-03-05T00:39:18,2026-02,no,yes,,xlsx requires explicit conversion/parse path (no openpyxl dependency yet),received_xlsx_manual_etl,
dashboard_data/SWF-MetaXblinkit/HUFT SKU level data (Dec2025 and Jan2026) (2).xlsx,meta_blinkit,.xlsx,25606,2026-03-04T22:10:22,2025-12,no,yes,,xlsx requires explicit conversion/parse path (no openpyxl dependency yet),received_xlsx_manual_etl,
dashboard_data/SWF-MetaXblinkit/HUFTXBlinkit-Indexed(Nov-Jan).xlsx,meta_blinkit,.xlsx,5657,2026-03-04T22:08:30,,no,yes,,xlsx requires explicit conversion/parse path (no openpyxl dependency yet),received_xlsx_manual_etl,
dashboard_data/SWF-MetaXblinkit/~$HUFTXBlinkit-Indexed(Nov-Jan).xlsx,meta_blinkit,.xlsx,165,2026-03-06T10:39:22,,no,yes,,xlsx requires explicit conversion/parse path (no openpyxl dependency yet),received_xlsx_manual_etl,
dashboard_data/SWF-MetaxInstamart/HUFTXInstamartIndexedData.xlsx,meta_instamart,.xlsx,11048,2026-03-04T22:10:58,,no,yes,,xlsx requires explicit conversion/parse path (no openpyxl dependency yet),received_xlsx_manual_etl,
dashboard_data/SWF-MetaxInstamart/~$HUFTXInstamartIndexedData.xlsx,meta_instamart,.xlsx,165,2026-03-05T15:15:19,,no,yes,,xlsx requires explicit conversion/parse path (no openpyxl dependency yet),received_xlsx_manual_etl,
dashboard_data/SWF-PlatformWise Spend.xlsx,platform_spend,.xlsx,9623,2026-03-04T22:34:00,,no,yes,,xlsx requires explicit conversion/parse path (no openpyxl dependency yet),received_xlsx_manual_etl,
dashboard_data/volume trend.xlsx - Google.csv,brand_search_google,.csv,955,2026-03-04T21:28:12,,yes,no,",Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sept 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026",,received_ready_csv,
dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv,google_ads_campaign,.csv,461108,2026-03-04T23:07:16,2025-12,yes,no,Campaign status	Campaign	Budget	Budget name	Budget type	Status	Status reasons	Optimization score	Campaign type	Currency code	TrueView avg. CPV	Avg. CPM	Interactions	Interaction rate	Avg. cost	Cost	Conv. (Platform Comparable)	Cost / Conv. (Platform Comparable)	Conv. value / Cost (Platform Comparable)	Revenue	CTR	Avg. CPC	Campaign ID	All conv.	Unique users	Engagements	Target ROAS	TrueView views	TrueView view rate (In-stream)	TrueView view rate (In-feed)	TrueView view rate (Shorts)	Video played to ,,received_ready_csv,
dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv,google_ads_campaign,.csv,459190,2026-03-04T23:08:30,2026-01,yes,no,Campaign status	Campaign	Budget	Budget name	Budget type	Status	Status reasons	Optimization score	Campaign type	Currency code	TrueView avg. CPV	Avg. CPM	Interactions	Interaction rate	Avg. cost	Cost	Conv. (Platform Comparable)	Cost / Conv. (Platform Comparable)	Conv. value / Cost (Platform Comparable)	Revenue	CTR	Avg. CPC	Campaign ID	All conv.	Unique users	Engagements	Target ROAS	TrueView views	TrueView view rate (In-stream)	TrueView view rate (In-feed)	TrueView view rate (Shorts)	Video played to ,,received_ready_csv,
dashboard_data/Google Dashboard /Google dashboard_Feb 2026.csv,google_ads_campaign,.csv,458586,2026-03-04T23:09:24,2026-02,yes,no,Campaign status	Campaign	Budget	Budget name	Budget type	Status	Status reasons	Optimization score	Campaign type	Currency code	TrueView avg. CPV	Avg. CPM	Interactions	Interaction rate	Avg. cost	Cost	Conv. (Platform Comparable)	Cost / Conv. (Platform Comparable)	Conv. value / Cost (Platform Comparable)	Revenue	CTR	Avg. CPC	Campaign ID	All conv.	Unique users	Engagements	Target ROAS	TrueView views	TrueView view rate (In-stream)	TrueView view rate (In-feed)	TrueView view rate (Shorts)	Video played to ,,received_ready_csv,
dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,google_shopify,.csv,9989,2026-03-04T23:10:54,2025-12,yes,no,"""Order UTM medium"",""Order UTM campaign"",""Orders"",""Total sales"",""Gross sales"",""Net sales"",""Average order value"",""Orders (previous_period)"",""Total sales (previous_period)"",""Gross sales (previous_period)"",""Net sales (previous_period)"",""Average order value (previous_period)"",""Orders (previous_period) "",""Total sales (previous_period) "",""Gross sales (previous_period) "",""Net sales (previous_period) "",""Average order value (previous_period) """,,received_ready_csv,
dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,google_shopify,.csv,8207,2026-03-04T23:11:24,2026-01,yes,no,"""Order UTM medium"",""Order UTM campaign"",""Orders"",""Total sales"",""Gross sales"",""Net sales"",""Average order value"",""Orders (previous_period)"",""Total sales (previous_period)"",""Gross sales (previous_period)"",""Net sales (previous_period)"",""Average order value (previous_period)"",""Orders (previous_period) "",""Total sales (previous_period) "",""Gross sales (previous_period) "",""Net sales (previous_period) "",""Average order value (previous_period) """,,received_ready_csv,
dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Feb 2026.csv,google_shopify,.csv,7502,2026-03-04T23:11:52,2026-02,yes,no,"""Order UTM medium"",""Order UTM campaign"",""Orders"",""Total sales"",""Gross sales"",""Net sales"",""Average order value"",""Orders (previous_month)"",""Total sales (previous_month)"",""Gross sales (previous_month)"",""Net sales (previous_month)"",""Average order value (previous_month)"",""Orders (previous_month) "",""Total sales (previous_month) "",""Gross sales (previous_month) "",""Net sales (previous_month) "",""Average order value (previous_month) """,,received_ready_csv,
dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaDashboard-Nov_25.csv,meta_blinkit,.csv,1055,2026-03-04T21:55:52,2025-11,yes,no,"""Reporting starts"",""Reporting ends"",""Ad set name"",""Ad set delivery"",Results,""Result indicator"",""Cost per results"",""Ad set budget"",""Ad set budget type"",""Amount spent (INR)"",Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Ends,Starts,""Attribution setting"",Bid,""Bid Type"",""Last significant edit"",""Purchase ROAS (return on ad spend)"",""Results ROAS"",""Result value indicator"",""Results value"",""CTR (all)"",""3-second video plays"",""CPC (all) (INR)"",""Link clicks""",,received_ready_csv,
dashboard_data/SWF-MetaXblinkit/SWF-Blinkit0MetaDashboard-Dec_25.csv,meta_blinkit,.csv,611,2026-03-04T22:00:10,2025-12,yes,no,"Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Ends,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaDashboard-Jan_26.csv,meta_blinkit,.csv,1050,2026-03-05T18:09:27,2026-01,yes,no,"Reporting starts,Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaSashboard-Feb_26.csv,meta_blinkit,.csv,1155,2026-03-04T22:03:24,2026-02,yes,no,"Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Bid,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-AdsetLevel-Nov_25.csv,meta_d2c_adset,.csv,1930,2026-03-04T21:30:46,2025-11,yes,no,"Ad set name,Results,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Ends,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard_AdsetLevel-Dec_25.csv,meta_d2c_adset,.csv,1624,2026-03-04T21:30:38,2025-12,yes,no,"Ad set name,Results,Cost per results,Ad set budget,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-Adsetlevel-Jan_26.csv,meta_d2c_adset,.csv,1177,2026-03-04T21:34:30,2026-01,yes,no,"Ad set name,Results,Cost per results,Ad set budget,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-AdsetLevel-Feb_26.csv,meta_d2c_adset,.csv,1175,2026-03-04T21:42:26,2026-02,yes,no,"Ad set name,Results,Cost per results,Ad set budget,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaxInstamart/SWF-Instamart-MetaDashborad-Jan_26.csv,meta_instamart,.csv,1019,2026-03-04T21:51:46,2026-01,yes,no,"Reporting starts,Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Ends,Starts,Attribution setting,Last significant edit,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaxInstamart/SWF-Instamart-MetaDashborad-Feb_26.csv,meta_instamart,.csv,722,2026-03-04T21:53:00,2026-02,yes,no,"Reporting starts,Ad set name,Ad set delivery,Results,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Ends,Starts,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/SWF-ShopifyDashboardxMeta_Nov_25.csv,meta_shopify_sales,.csv,5442,2026-03-04T21:40:36,2025-11,yes,no,"""Product title at time of sale"",""Product variant title at time of sale"",""Orders"",""Net items sold"",""Total sales"",""Discounts"",""Average order value"",""New customers""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv,meta_shopify_sales,.csv,11969,2026-03-07T11:16:17,2025-12,yes,no,"""Order UTM campaign"",""Order UTM content"",""Order UTM medium"",""Orders"",""Gross sales"",""Discounts"",""Returns"",""Net sales"",""Shipping charges"",""Duties"",""Additional fees"",""Taxes"",""Total sales""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/SWF-ShopifyDashboardXMeta_Dec_25.csv,meta_shopify_sales,.csv,5427,2026-03-04T21:41:32,2025-12,yes,no,"""Product title at time of sale"",""Product variant title at time of sale"",""Orders"",""Net items sold"",""Total sales"",""Discounts"",""Average order value"",""New customers""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/Meta shopify report with adset data - Jan_26.csv,meta_shopify_sales,.csv,12266,2026-03-07T11:16:17,2026-01,yes,no,"""Order UTM campaign"",""Order UTM content"",""Order UTM medium"",""Orders"",""Gross sales"",""Discounts"",""Returns"",""Net sales"",""Shipping charges"",""Duties"",""Additional fees"",""Taxes"",""Total sales""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/SWF-ShopifyDashboardXMeta-Jan_26.csv,meta_shopify_sales,.csv,4410,2026-03-04T21:44:30,2026-01,yes,no,"""Product title at time of sale"",""Product variant title at time of sale"",""Orders"",""Net items sold"",""Total sales"",""Discounts"",""Average order value"",""New customers""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify report with Adset data - feb_26.csv,meta_shopify_sales,.csv,10905,2026-03-07T11:16:17,2026-02,yes,no,"""Order UTM campaign"",""Order UTM content"",""Order UTM medium"",""Orders"",""Gross sales"",""Discounts"",""Returns"",""Net sales"",""Shipping charges"",""Duties"",""Additional fees"",""Taxes"",""Total sales""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/SWF-ShopifyDashboardXMeta_Feb_26.csv,meta_shopify_sales,.csv,12837,2026-03-04T21:45:30,2026-02,yes,no,"""Product title at time of sale"",""Product variant title at time of sale"",""Orders"",""Net items sold"",""Total sales"",""Discounts"",""Average order value"",""New customers""",,received_ready_csv,
dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv,shopify_new_vs_returning,.csv,21104,2026-03-04T21:27:12,2025-12,yes,no,"""New or returning customer"",""Day"",""Customers"",""Orders"",""Total sales"",""Day (previous_period)"",""Customers (previous_period)"",""Orders (previous_period)"",""Total sales (previous_period)"",""Customers (previous_period) "",""Orders (previous_period) "",""Total sales (previous_period) """,,received_ready_csv,
